alarms,,,,,,,,
spname,ALID,idTSN,setCEID,clearCEID,category,isEnabled,isSet,ALTX
tester,7000,U4,7000,7001,0,1,0,CustomAlarm
tester,7002,U4,7002,7003,0,1,0,EquipNotResponding
tester,7004,U4,7004,7005,0,1,0,FacilitiesLoss
tester,7006,U4,7006,7007,0,1,0,HWInitError
tester,7008,U4,7008,7009,0,1,0,OCRIDError
tester,7010,U4,7010,7011,0,1,0,OrphanWafer
tester,7012,U4,7012,7013,0,1,0,ProberSetup
tester,7014,U4,7014,7015,0,1,0,SupportSystem
tester,7016,U4,7016,7017,0,1,0,WaferHandling
tester,7018,U4,7018,7019,0,1,0,UnexpectedMaterial
tester,7020,U4,7020,7021,0,1,0,InvalidRecipe
tester,7100,U4,7100,7101,0,1,0,CORBAConnection
tester,7102,U4,7102,7103,0,1,0,CORBAEvent
tester,7110,U4,7110,7111,0,1,0,WafermapFile
tester,7112,U4,7112,7113,0,1,0,TesterStationInterface
tester,7114,U4,7114,7115,0,1,0,DriverConfiguration
tester,7120,U4,7120,7121,0,1,0,MemoryAllocateAllSitesMode
tester,7122,U4,7122,7123,0,1,0,WaferFileVersion
tester,7124,U4,7124,7125,0,1,0,WaferFileReadFBin
tester,7126,U4,7126,7127,0,1,0,WaferFileReadTestResult
tester,7128,U4,7128,7129,0,1,0,WaferSeqMemoryAllocate
tester,7130,U4,7130,7131,0,1,0,PrevWaferFileRead
tester,7132,U4,7132,7133,0,1,0,PrevWaferFileVersion
tester,7134,U4,7134,7135,0,1,0,PrevWaferSeqMemoryAllocate
tester,7200,U4,7200,7201,0,1,0,CloseVTPCIDevice
tester,7202,U4,7202,7203,0,1,0,ResetTesterFailed
tester,7204,U4,7204,7205,0,1,0,SetTestStatusFailed
tester,7206,U4,7206,7207,0,1,0,SendTesterSiteFailed
tester,7208,U4,7208,7209,0,1,0,SendTesterWordFailed
tester,7210,U4,7210,7211,0,1,0,PCIPoll
tester,7250,U4,7250,7251,0,1,0,DCPowerOff
tester,7252,U4,7252,7253,0,1,0,CoolerSystem
tester,7254,U4,7254,7255,0,1,0,PowerSupply
tester,7256,U4,7256,7257,0,1,0,SSICCommunication
tester,7258,U4,7258,7259,0,1,0,VacuumLoss
tester,7260,U4,7260,7261,0,1,0,SSICAnyError
tester,7300,U4,7300,7301,0,1,0,IOPAppReadInstance
tester,7302,U4,7302,7303,0,1,0,IOPAppInitOrb
tester,7304,U4,7304,7305,0,1,0,IOPAppWriteInstance
tester,7306,U4,7306,7307,0,1,0,IOPAppBindOrb
tester,7308,U4,7308,7309,0,1,0,IOPAppDeviceOrb
tester,7310,U4,7310,7311,0,1,0,IOPAppOrbObject
tester,7312,U4,7312,7313,0,1,0,IOPAppInitEventSupplier
tester,7314,U4,7314,7315,0,1,0,IOPAppInitEventConsumer
tester,7316,U4,7316,7317,0,1,0,OpenWaferHandle
tester,7318,U4,7318,7319,0,1,0,DeviceDllNotFound
tester,7320,U4,7320,7321,0,1,0,DeviceDllFunction
tester,7322,U4,7322,7323,0,1,0,LoadDeviceDllFailed
tester,7324,U4,7324,7325,0,1,0,IOPDevVersion
tester,7328,U4,7328,7329,0,1,0,NotEnoughDiskSpace
tester,7330,U4,7330,7331,0,1,0,MonitorSyntaxError
tester,7332,U4,7332,7333,0,1,0,MonitorError
tester,7334,U4,7334,7335,0,1,0,ProberDriverFailed
tester,7336,U4,7336,7337,0,1,0,PlanFileNotFound
tester,7338,U4,7338,7339,0,1,0,TestSiteError
