attribute_defaults,,,,,,,,
objType,attributeName,defaultValue,attributeMethod,datatype,order,description,dataLength,hostAccess
SubstLoc,ObjID,,,A,1,Object Identifier,,0
SubstLoc,ObjType,,,A,0,Object type,,0
SubstLoc,SubstID,,,A,2,Substrate Identifier relevant to the location,,0
SubstLoc,SubstLocState,,,U1,3,Substrate Location state,,0
Substrate,LotID,,,A,2,,,1
Substrate,MaterialStatus,,,U1,3,,,0
Substrate,ObjID,,,A,0,,,0
Substrate,ObjType,,,A,1,,,0
Substrate,SubstDestination,,,A,4,,,0
Substrate,SubstHistory,,,L,5,,,0
Substrate,SubstLocID,,,A,6,,,0
Substrate,SubstProcState,,,U1,7,,,0
Substrate,SubstSource,,,A,8,,,0
Substrate,SubstState,,,U1,9,,,0
Substrate,SubstType,,,U1,10,,,1
Substrate,SubstUsage,,,U1,11,,,1
