parameters,,,,,,
spname,command,pname,varname,varmethod,required,description
tester,CANCEL-MEAS,PortID,,,1,
tester,CHANGE-OCR-STATE,RequestedOCRState,RequestedOCRState,,1,
tester,CLOSE-LOT,PortID,,,1,
tester,PP-SELECT,PortID,,,1,
tester,PP-SELECT,CarrierID,CarrierID,,1,
tester,PP-SELECT,ProductID,ProductID,,1,
tester,PP-SELECT,DieSpecFileName,DieSpecFileName,,0,
tester,PP-SELECT,WaferSpecFileName,WaferSpecFileName,,1,
tester,PP-SELECT,LimitFileName,LimitFileName,,1,
tester,PP-SELECT,LotID,LotID,,1,
tester,PP-SELECT,OperatorID,OperatorID,,1,
tester,PP-SELECT,PPExecName,PPExecName,,1,
tester,PP-SELECT,ProbeSpecFileName,ProbeSpecFileName,,1,
tester,PP-SELECT,ProberRecipeFileName,ProberRecipeFileName,,1,
tester,PP-SELECT,TestPlanName,TestPlanName,,1
tester,PP-SELECT,WaferList,WaferList,,1
tester,PP-SELECT,DieTestSpecNames,DieTestSpecNames,,0
tester,PP-SELECT,TestSpecFileName,TestSpecFileName,,0
tester,RETEST,PortID,,,1
tester,RETEST,WaferList,WaferList,,1
tester,START,PortID,,,1
