commands,,
spname,command,isProcessing
gemprober,Bind,1
gemprober,CancelCarrier,1
gemprober,CancelCarrierAtPort,1
gemprober,CarrierReCreate,1
gemprober,CarrierRelease,1
gemprober,ProceedWithCarrier,1
gemprober,ReserveAtPort,1
gemprober,CancelReservationAtPort,1
gemprober,RECIPEDOWNLOAD,1
gemprober,RECIPEUPLOAD,1
gemprober,ABORT,1
gemprober,JOB_CANCEL,1
gemprober,JOB_CREATE,1
gemprober,ONLINE-LOCAL,0
gemprober,ONLINE-REMOTE,0
gemprober,PP-SELECT,1
gemprober,PAUSE,1
gemprober,RESUME,1
gemprober,START,1
gemprober,STOP,1
