event_reports,,
spname,CEID,RPTID
tester,1000,1000
tester,1001,1001
tester,1002,1002
tester,1003,1003
tester,1004,1004
tester,1005,1005
tester,1006,1006
tester,1007,1007
tester,1008,1008
tester,1009,1009
tester,1010,1010
tester,1011,1011
tester,1012,1012
tester,1013,1013
tester,1014,1014
tester,1015,1015
tester,1016,1016
tester,1017,1017
tester,1018,1018
tester,1019,1019
tester,1020,1020
tester,1021,1021
tester,1022,1022
tester,1023,1023
tester,1024,1024
tester,1025,1025
tester,1028,1028
tester,1029,1029
tester,1030,1030
gemprober,708,2000
gemprober,3004,3
gemprober,4518,2000
