streams_functions,,,,,,,
message,description,onlineProc,offlineProc,xactStatus,timeoutProc,returnProc,returnData
S1F0,Abort Transaction,,,,,,
S1F1,Are You There Request,,,,,,
S1F2,On Line Data,,,,,,
S1F11,Status Variable Namelist Request,,,,,,
S1F12,Status Variable Namelist Reply,,,,,,
S1F13,Establish Communications Request,,,,,,
S1F14,Connect Request Acknowledge,,,,,,
S1F15,Request OFF-LINE,,,,,,
S1F16,OFF-LINE Acknowledge,,,,,,
S1F17,Request ON-LINE,,,,,,
S1F18,ON-LINE Acknowledge,,,,,,
S1F19,Get Attribute,,,,abortXact S1F19,,
S1F20,Attribute Data,,,,,,
S1F3,Selected Equipment Status Reques,,,,abortXact S1F3,,
S1F4,Selected Equipment Status Data,,,,
S2F0,Abort Transaction,,,,
S2F13,Equipment Constant Request,,,,
S2F14,Equipment Constant Data,,,,
S2F15,New Equipment Constant Send,,,,returnError S2F16 64
S2F16,Equipment Constant Acknowledge,,,,
S2F17,Date and Time Request,,,,
S2F18,Date and Time Data,,,,
S2F21,Remote Command Send,,,,
S2F22,Remote Command Acknowledge,,,,
S2F25,Loopback Diagnotic Request,,,,
S2F26,Loopback Diagnostic Data,,,,
S2F29,Equipment Constant Namelist Requ,,,,
S2F30,Equipment Constant Namelist Repl,,,,
S2F31,Date and Time Set Request,,,,
S2F32,Date and Time Set Acknowledge,,,,
S2F33,Define Report Send,,,,returnError S2F34 64
S2F34,Define Report Acknowledge,,,,
S2F35,Link Event Report,,,,returnError S2F36 64
S2F36,Link Event Report Acknowledge,,,,
S2F37,Enable/Disable Event Report Send,,,,ignoreError
S2F38,Enable/Disable Event Report Ackn,,,,
S2F39,Multi-Block Inquire,,,,returnError S2F40 64
S2F40,Multi-Block Grant,,,,
S2F41,Host Command Send,,,,returnError S2F42 64
S2F42,Host Command Acknowledge,,,,
S2F43,Reset Spooling Streams and Funct,,,,
S2F44,Reset Spooling Acknowledge,,,,
S2F49,Enhanced Remote Command,,,,returnError S2F50 64
S2F50,Enhanced Remote Command Acknowledge,,,,
S3F15,Materials Multi-block Inquire,,,,returnError S3F16 64
S3F16, Materials Multi-block Grant,,,,
S3F17,Carrier Action Request,,,,returnError S3F18 64
S3F18,Carrier Action Acknowledge,,,,
S3F25,S3F25 Port Action Services,,,,
S3F26,S3F26  Port Action Services,,,,
S3F27,Port Accessmode Change,,,,
S3F28,Port Accessmode Change acknowledge,,,,
S5F0,Abort Transaction,,,,
S5F1,Alarm Report Send,,,,
S5F2,Alarm Report Acknowledge,,,,
S5F3,Enable/Disable Alarm Send,,,,
S5F4,Enable/Disable Alarm Acknowledge,,,,
S5F5,List Alarm Request,,,,
S5F6,List Alarm Data,,,,
S5F7,List Enabled Alarm Request,,,,
S5F8,List Enabled Alarm Data,,,,
S6F0,Abort Transaction,,,,
S6F11,Event Report Send,,,,
S6F12,Event Report Acknowledge,,,,
S6F15,Event Report Request,,,,abortXact S6F15
S6F16,Event Report Data,,,,
S6F17,Annotated Event Report Request,,,,abortXact S6F17
S6F18,Annotated Event Report Data,,,,
S6F19,Individual Report Request,,,,abortXact S6F19
S6F20,Individual Report Data,,,,
S6F21,Annotated Individual Report Requ,,,,abortXact S6F21
S6F22,Annotated Individual Report Data,,,,
S6F23,Request Spooled Data,,,,
S6F24,Request Spooled Data Acknowledge,,,,
S6F3,Discrete Variable Data Send,,,,
S6F4,Discrete Variable Data Ack,,,,
S6F5,Multi-block Data Send Inquire,,,,returnError S6F6 64
S6F6,Multi-block Grant,,,,
S7F1,Process Program Load Inquire,,,,
S7F17,Delete Process Program Send,,,,
S7F18,Delete Process Program Ack,,,,
S7F19,Current EPPD Request,,,,
S7F2,Process Program Load Grant
S7F20,Current EPPD Data
S7F3,Process Program Send
S7F4,Process Program Ack
S7F6,Process Program Data
S7F5,Process Program Request
S9F0,Abort Transaction
S9F1,Unrecognized Device ID Type
S9F11,Data Too Long
S9F13,Conversation Time-out
S9F3,Unrecognized Stream Type
S9F5,Unrecognized Function Type
S9F7,Illegal Data
S9F9,Transaction Timer Time-Out
S10F1,Terminal Request
S10F2,Terminal Request Acknowledge
S10F3,Terminal Display,,,,
S10F4,Terminal Display Acknowledge,,,,
S10F5,"Terminal Display, Multi-block",,,,
S10F6,"Terminal Display, Multi-block Acknowledge",,,,
S14F1,Get Attribute,,,,abortXact S14F1
S14F2,Attribute Data,,,,,,
S14F3,Set Attribute Data,,,,,,
S14F4,Set Attribute Acknowledge,,,,,,
S14F19,GSR for PWS or CS,,,,,,
S14F20,GSR Acknowledge,,,,,,
